Id,label
6fc9045b-9983-41e2-be2d-8796ecd97412,Normal
874716ce-9048-4e8a-b980-5ed9a5c0110e,Poison
c3613b20-ead8-48e1-8c8d-2f219d8e19d4,Normal
c7264ebc-ba44-460a-9b2b-df23c04783bc,Normal
a72045db-8fae-458b-993e-23d2aab1a5c6,Normal
ec88045c-87e0-482f-8383-f18f9a6f6435,Water
50aa0b96-180f-438c-a093-37592802f58a,Poison
c5c8318f-640c-422c-b929-9d1af510eaaa,Fire
9520fa51-b6ae-4ffa-af6b-030104147b33,Grass
f7c045d7-8acb-4c16-9985-0c7d1dede428,Rock
011b3848-bb2e-4a97-8110-d38a983d32c8,Grass
3935d77f-187d-4acc-b8aa-63de43e60b6c,Bug
b36b22af-360a-4d2b-bb01-b575c38645b6,Fighting
05fc083b-2413-41c7-9bf5-9450e3ea189d,Fire
127aa8ac-1319-48f2-b300-f593cab275eb,Grass
8a3b122f-9857-4488-859b-3fffa3fbbaa1,Ground
50c121a2-79f1-4bd1-a48f-485230c02826,Normal
d1ec9daf-f474-4732-b934-477535c73c91,Normal
b458345d-d11f-47c5-9627-ddc88911aac2,Grass
0264932d-b836-4f67-9561-b3b69acde069,Bug
c0a7ca04-59d7-4ef8-a87b-a396f02286b1,Water
c07a3d46-f1f8-4dc6-81fd-cf0deb3277f6,Fire
c41ae049-6d33-43f1-9135-28fafea92e7f,Bug
fa3dd857-84ae-479c-b0a1-65c18dadab8e,Normal
a43a9b22-4c97-491d-a9e2-4e5fc71467a6,Fire
c1a3a753-d75f-45bc-9ad9-ad6f7e5f133a,Water
d9746a62-248a-4338-ba7a-75c14ab852ac,Normal
7c233ccb-28a9-4418-8f25-05469314a64f,Poison
b8e509cf-f785-4e5b-b8ef-9309d0476365,Normal
62fb9b5f-4d79-428d-a910-66aa0d0e32df,Rock
410dc568-d205-43de-85b4-2c9d553d84fd,Fighting
eee3d156-765c-4ad4-8fc4-c9725ba08f69,Fire
c8b2e8aa-c382-4c10-95b3-d4da851c7a9b,Bug
b3c8afdb-675a-49f5-aca8-7cef278160b8,Fire
3f21a0c3-11f5-44ed-8507-516d25cc3994,Water
587e56c8-9173-41de-812a-9eeeee0cdaf7,Water
b3912ef3-4aa7-4048-891c-92cac19052c1,Water
ddc02f3d-af26-4ede-b720-c9cb08a8364c,Normal
bc4ea51e-263c-4d90-87e3-48fde3851151,Grass
f9ba7e04-8d5b-4236-9ded-edaab542c304,Rock
d9bd5f69-a731-4292-8ae7-953ec21d416f,Grass
ba87675b-0bdc-49cf-bfa9-00545e72c783,Poison
439bef51-a07a-4d55-9572-088e0bff52b7,Normal
3cec8ee0-e4f3-46ff-803a-4aafb61fff69,Water
469f90ce-9b28-4e37-80c6-fc3085ac105b,Ground
641f1555-284d-4bfa-839f-b5c378aff0fd,Ground
c51feb5c-eb76-4636-987b-95a9bfd63ea7,Water
b3ff9005-3373-4206-bec6-a8546021265a,Bug
480dcb6e-7e34-4d76-ad18-37d6f14d47ce,Grass
ad644da7-33c9-4ad9-a727-a1c8470c3b5c,Bug
dfbd1ff1-1b03-4551-b0a7-249280fbf999,Poison
a428ee92-218f-4bec-bece-5577182bd8a2,Poison
ce66e27e-9748-47d8-a22e-0e49c1bbde3b,Normal
70b5de4b-d6e2-445a-968c-30ce757fd10a,Ground
d3c702f1-533f-427d-af24-2eced12f3d85,Water
